name,price,power,gvw,milage,engine,fual_tank,payload,fuel_type
Tata Yodha Pickup,₹8.54 - ₹10.71 Lakh*,98 hp,3490,,2200,45,1700,Diesel
Tata Ace gold,₹4.21 - ₹6.69 Lakh*,19 hp,1670,22,700,30,750,
Mahindra Jeeto,₹4.38 - ₹5.26 Lakh*,16 hp,1345,32.86,670,10.5,600,
Tata Intra V30,₹8.11 - ₹8.44 Lakh*,70 hp,2565,14,1496,35,1300,
Force Urbania,From ₹28.99 Lakh*,115 hp,3625,11,2596,70,-,
Ashok Leyland Dost+,₹7.75 - ₹8.25 Lakh*,80 hp,2805,19.6,1478,40,1500,
Ashok Leyland BADA DOST,₹8.15 - ₹9.47 Lakh*,80 hp,3490,13,1478,50,1860,
Tata Ace EV,From ₹9.21 Lakh*,36 hp,1840,,,,600,Electric
Tata Intra V50,From ₹8.90 Lakh*,80,2940,17-22,1496,35,1500,
Mahindra Bolero Maxx Pik-Up,₹7.68 - ₹7.87 Lakh*,65 hp,2825,17.2,2523,45,1300,
Mahindra Bolero Pikup 4x4,From ₹8.80 Lakh*,75 hp,2735,13,2523,57,1015,
Maruti Suzuki Super Carry,₹4.73 - ₹5.93 Lakh*,64 hp,1600,23.24,1196,70,625,
Tata Intra V10,₹7.28 - ₹7.51 Lakh*,44 hp,2120,,798,30,1000,Diesel
Mahindra Supro Profit Truck Mini,₹5.71 - ₹6.25 Lakh*,26 hp,1802,23.3,909,30,900,
Mahindra Bolero Pikup CNG,From ₹8.95 Lakh*,67 hp,2990,19,2523,140,1190,
Mahindra Supro Profit Truck Maxi,₹6.84 - ₹7.47 Lakh*,47 hp,2185,21.94,909,33,1050,
Tata Intra V20 Bi Fuel,From ₹8.50 Lakh*,53 hp,2275,,1199 DI,CNG 80L/Petrol 2.5L,1000,CNG+Petrol
Tata Yodha 2.0,₹9.99 - ₹10.00 Lakh*,100 hp,3840,12-13 Kmpl,2200,45,2000,
Mahindra Bolero Maxx Pik-Up,₹7.68 - ₹7.87 Lakh*,65 hp,2825,17.2,2523,45,1300,
Mahindra Bolero Pikup 4x4,From ₹8.80 Lakh*,75 hp,2735,13,2523,57,1015,
Maruti Suzuki Super Carry,₹4.73 - ₹5.93 Lakh*,64 hp,1600,23.24,1196,70,625,
Tata Intra V10,₹7.28 - ₹7.51 Lakh*,44 hp,2120,,798,30,1000,Diesel
Mahindra Supro Profit Truck Mini,₹5.71 - ₹6.25 Lakh*,26 hp,1802,23.3,909,30,900,
Mahindra Bolero Pikup CNG,From ₹8.95 Lakh*,67 hp,2990,19,2523,140,1190,
Mahindra Supro Profit Truck Maxi,₹6.84 - ₹7.47 Lakh*,47 hp,2185,21.94,909,33,1050,
Tata Intra V20 Bi Fuel,From ₹8.50 Lakh*,53 hp,2275,,1199 DI,CNG 80L/Petrol 2.5L,1000,CNG+Petrol
Tata Yodha 2.0,₹9.99 - ₹10.00 Lakh*,100 hp,3840,12-13 Kmpl,2200,45,2000,
Ashok Leyland Dost Strong,₹7.49 - ₹7.95 Lakh*,70 hp,2590,19.6,1478,40,1350,
Mahindra Bolero Maxitruck Plus,From ₹7.02 Lakh*,65 hp,2700,17.2,2523,45,1200,
Mahindra Bolero City Pikup,From ₹7.20 Lakh*,65 hp,2990,13,2523,45,1400,
Mahindra Bolero Maxx Pik-Up HD,Price Coming Soon,80hp,3895,-,-,60,2000,
Isuzu S-CAB,₹9.82 - ₹11.95 Lakh*,78 hp,2850,16.56,2499,55,1100,
Ashok Leyland DOST CNG,₹7.79 - ₹7.99 Lakh*,45 hp,2545,320 km,1478,120,1208,
Tata Winger Cargo,From ₹13.30 Lakh*,98 hp,3490,14,2179,60,1680,
Mahindra Bolero Pikup ExtraLong,₹8.46 - ₹8.72 Lakh*,75 hp,3490,13,2523,60,1700,
Mahindra Imperio,₹7.32 - ₹8.24 Lakh*,75 hp,2990,13.55,2489,55,1240,
Mahindra Bolero Pikup ExtraStrong,₹8.56 - ₹8.78 Lakh*,75 hp,2995,14.3,2523,57,1280,
Maruti Suzuki Eeco Cargo,₹3.91 - ₹3.95 Lakh*,72 hp,1510,16.56,1196,40,920,
Mahindra Bolero Maxitruck CNG,From ₹7.26 Lakh*,67 hp,2750,17.6,2523,150,1150,
Mahindra Bolero Camper,From ₹8.86 Lakh*,75 hp,2735,15.1,2523,57,1000,
Isuzu D-MAX,₹8.32 - ₹8.36 Lakh*,78 hp,3490,14.4,2499,55,1710,
Ashok Leyland DOST LiTE,₹7.25 - ₹7.50 Lakh*,70 hp,2590,19.6,1478,40,1250,
Mahindra Supro Profit Truck Cng Duo,Price Coming Soon,20.01 Kw,1850,23.35,909,CNG-75L & Petrol-5L,750,
Toyota Hilux,₹33.99 - ₹36.80 Lakh*,201,2910,-,2755,80,470,
Isuzu D-MAX V-Cross,From ₹19.98 Lakh*,163 hp,2850,12.4,1898,52,-,
Isuzu S-CAB Z,From ₹15.00 Lakh*,78 hp,2850,-,2499,55,935,
Triton Ev Semi Truck,Price Coming Soon,335,,,,,,Electric
Mahindra Loadking Optimo,Price Coming Soon,81 hp,6950,-,2500,60,-,
OSM M1KA 1.0,Price Coming Soon,60 hp,-,-,-,-,1000,
Isuzu Hi-Lander,From ₹19.50 Lakh*,163 hp,-,12,1898,-,225,
EKA K1.5,From ₹16.30 Lakh*,80 hp,2510,,,,,Electric
SML Isuzu Reefer Van,Price Coming Soon,-,10700,6,3455,90,-,
SML Isuzu Prestige Dual Cab,From ₹19.87 Lakh*,100 hp,6440,-,3455,90,3084,
Jupiter JEM TEZ,Price Coming Soon,-,2200,-,-,-,1000,
Jupiter Ev Star CC,Price Coming Soon,-,7000,-,-,-,4000,
