name,price,power,gvw,milage,engine,fual_tank,payload,fuel_type
Bajaj Maxima Cargo E-TEC 9.0,Price Coming Soon,6 Hp,,,,,,Electric
Bajaj Maxima Xl Cargo E-TEC 12.0,From ₹3.77 Lakh*,7 hp,,,,,,Electric
Piaggio Ape Xtra LDX,₹2.45 - ₹2.48 Lakh*,9.4 hp,975,22,599,10.5,-,
Bajaj Maxima C,₹2.83 - ₹2.84 Lakh*,10 hp,965,33,470.5,8,,Diesel
Mahindra Alfa Plus,₹2.59 - ₹2.85 Lakh*,9 hp,995,29.4,597,,505,Diesel
Mahindra Treo Zor,₹3.13 - ₹3.48 Lakh*,10 hp,995,-,-,-,550,
Mahindra Zor Grand,₹3.50 - ₹3.80 Lakh*,12,998,-,-,-,-,
Piaggio Ape E Xtra FX,From ₹3.12 Lakh*,12 hp,975,-,-,-,506,
Atul Shakti Cargo,₹2.83 - ₹2.84 Lakh*,9.38 hp,1020,36,598,7,-,
Euler Motors Hi Load,₹3.94 - ₹4.30 Lakh*,14 hp,1413,,,,688,Electric
Mahindra E-Alfa Cargo,From ₹1.56 Lakh*,1.34 hp,780,80,-,-,310,
Piaggio Ape Xtra LDX Plus,₹2.66 - ₹3.09 Lakh*,9.39 hp,975,36,597.7,10,-,
Mini Metro White E Rickshaw Loader,From ₹1.15 Lakh*,850 Watt,-,-,-,-,500,
TVS King Kargo,₹2.10 - ₹2.50 Lakh*,9 hp,864,-,225.8,33,-,
Atul GEM Cargo,₹2.66 - ₹2.95 Lakh*,9 hp,1020,-,395,40,500,
Altigreen neEV High Deck,From ₹4.36 Lakh*,11 hp,950,120,,,550,Electric
Piaggio Ape E Xtra FX Max,From ₹3.46 Lakh*,-,505,-,-,-,-,
Piaggio Ape Xtra Classic,Price Coming Soon,7.64 hp,975,-,435,10.5,-,
Euler Motors Hi Load,₹3.94 - ₹4.30 Lakh*,14 hp,1413,,,,688,Electric
Mahindra E-Alfa Cargo,From ₹1.56 Lakh*,1.34 hp,780,80,-,-,310,
Piaggio Ape Xtra LDX Plus,₹2.66 - ₹3.09 Lakh*,9.39 hp,975,36,597.7,10,-,
Mini Metro White E Rickshaw Loader,From ₹1.15 Lakh*,850 Watt,-,-,-,-,500,
TVS King Kargo,₹2.10 - ₹2.50 Lakh*,9 hp,864,-,225.8,33,-,
Atul GEM Cargo,₹2.66 - ₹2.95 Lakh*,9 hp,1020,-,395,40,500,
Altigreen neEV High Deck,From ₹4.36 Lakh*,11 hp,950,120,,,550,Electric
Piaggio Ape E Xtra FX Max,From ₹3.46 Lakh*,-,505,-,-,-,-,
Piaggio Ape Xtra Classic,Price Coming Soon,7.64 hp,975,-,435,10.5,-,
YC Electric E Loader,From ₹1.35 Lakh*,1 hp,693,,,,400,Electric
Dandera Otua,From ₹3.80 Lakh*,17hp,,,,,900,Electric
